# Catálogo maestro del módulo Quirófano.
# Columnas: referencia_especialidad,procedimiento
# La especialidad viene de la tabla `especialidades` (mapeo aplicado):
#   Cirugía General, Cirugía Plástica y Reconstructiva, Otorrinolaringología,
#   Cirugía de Emergencia, Cirugía Cardiovascular, Nefrología,
#   Procedimientos Generales/Menores/Endoscópicos, Cirugía Oncológica,
#   Cirugía Vascular, Neurocirugía, Oftalmología, Urología,
#   Cirugía Maxilofacial, Cirugía Oral y Maxilofacial, Cirugía Torácica,
#   Trasplantes  ->  Cirugía
#   Traumatología y Ortopedia  ->  Traumatología
#   Cirugía Pediátrica         ->  Pediatría
#   Ginecología y Obstetricia  ->  Ginecología
#   Gastroenterología          ->  Medicina Interna
referencia_especialidad,procedimiento
Ginecología,Tratamiento quirúrgico de endometriosis
Traumatología,Fijación percutánea
Cirugía,Tratamiento quirúrgico del sangrado digestivo
Cirugía,Trombectomía
Cirugía,Trombectomía de fístula arteriovenosa
Cirugía,Tumorectomía
Cirugía,Ureterolitotomía
Cirugía,Ureteroscopia
Cirugía,Vagotomía
Cirugía,Varicectomía
Cirugía,Varicocelectomía
Cirugía,Vasectomía
Cirugía,Vitrectomía
Cirugía,Yeyunostomía
Traumatología,Fijación externa
Traumatología,Corrección de escoliosis
Traumatología,Corrección de deformidades
Traumatología,Cirugía de pie
Cirugía,Biopsia Tru-Cut
Traumatología,Cirugía de mano
Ginecología,Cistectomía
Ginecología,Colposcopía
Cirugía,Drenaje ecoguiado
Ginecología,Episiotomía
Ginecología,Extracción manual de placenta
Ginecología,Fimbriectomía
Traumatología,Cirugía de columna
Cirugía,Infiltración ecoguiada
Traumatología,Artroscopía
Cirugía,Punción lumbar
Ginecología,Reparación de desgarro cervical/vaginal
Traumatología,Artroplastia
Traumatología,Amputación
